Invasive Cancer Incidence Rates by County in California
"All Sites, NH White, 2017"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Sutter,46120,338,732.87,492.47,439.40,550.89
Butte,169989,1207,710.05,487.06,457.87,517.78
Solano,177806,1270,714.26,485.66,457.66,515.10
Marin,191254,1539,804.69,467.12,441.93,493.64
Lake,46398,384,827.62,466.35,415.66,522.63
Shasta,147375,1051,713.15,456.76,427.81,487.37
San Mateo,315010,2155,684.11,455.96,435.95,476.75
Santa Barbara,204275,1452,710.81,455.67,430.13,482.53
Colusa - Glenn - Tehama,66960,512,764.64,455.05,413.52,500.24
Sacramento,715067,4493,628.33,453.51,439.81,467.57
Placer,287936,1943,674.80,447.26,426.61,468.77
Orange,1340397,8884,662.79,444.11,434.44,453.97
Ventura,396717,2692,678.57,436.78,419.26,454.93
Merced,77923,496,636.53,434.46,395.12,477.04
San Diego,1573447,9494,603.39,434.32,425.27,443.54
Sierra - Yuba,46613,263,564.22,433.51,380.20,492.64
San Francisco,372548,1849,496.31,432.87,412.86,453.71
Contra Costa,522293,3444,659.40,432.61,417.50,448.20
San Bernardino,638517,3896,610.16,431.64,417.46,446.21
Stanislaus,236832,1475,622.80,431.53,408.83,455.29
El Dorado,150445,1022,679.32,429.27,401.05,459.21
Santa Clara,643642,3981,618.51,428.94,415.19,443.08
Kern,312783,1847,590.51,428.42,408.31,449.33
Santa Cruz,161972,1033,637.76,426.76,399.01,456.19
Sonoma,327843,2339,713.45,425.60,407.00,444.97
Alameda,553742,3236,584.39,423.37,408.36,438.84
Los Angeles,2771845,16985,612.77,423.05,416.45,429.75
Yolo,106232,564,530.91,422.24,386.70,460.39
San Joaquin,248718,1564,628.82,421.76,400.16,444.36
Fresno,300608,1899,631.72,419.02,399.28,439.59
San Luis Obispo,199329,1337,670.75,415.57,391.42,441.01
Napa,75566,559,739.75,412.04,375.65,451.76
Riverside,884770,5984,676.33,410.58,399.49,421.94
Monterey,135489,929,685.66,400.99,372.86,431.01
Madera,54649,389,711.82,396.98,355.63,442.86
Mendocino,58475,422,721.68,393.73,352.32,439.55
Tulare,136380,814,596.86,392.87,364.94,422.60
Del Norte - Humboldt,123112,708,575.09,391.30,361.16,423.53
Alpine - Amador - Calaveras,69348,513,739.75,390.20,352.77,431.40
Nevada,86754,598,689.31,383.28,348.98,420.61
Kings,49943,236,472.54,377.54,330.06,430.34
Mariposa - Tuolumne,58682,408,695.27,375.75,336.08,419.79
San Benito,21369,109,510.08,345.35,279.70,423.77
Lassen - Modoc - Plumas,43885,248,565.11,336.15,291.61,386.59
Siskiyou - Trinity,45307,261,576.07,317.72,275.67,365.55
Inyo - Mono,20984,113,538.51,276.05,224.47,339.86
STATE,15235265,97075,637.17,429.70, 426.87,432.55

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Apr 21, 2025."
"Based on Dec 2019 data. Excludes cases reported by the Department of Veterans Affairs."
